,frame
99,LEVEL01PLAYER220710BULLET171001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000205BOMB181602
100,LEVEL01PLAYER220710BULLET171001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000205BOMB191602
101,LEVEL01PLAYER220710BULLET161001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000205BOMB191602
102,LEVEL01PLAYER220710BULLET161001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000205BOMB201602
103,LEVEL01PLAYER220710BULLET161001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000105BOMB201602
104,LEVEL01PLAYER220710BULLET151001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000105BOMB201602
105,LEVEL01PLAYER220710BULLET141001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000105BOMB211602
106,LEVEL01PLAYER220710BULLET131001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000105BOMB211602
107,LEVEL01PLAYER220710BULLET131001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000105BOMB221602
108,LEVEL01PLAYER220710BULLET131001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000005BOMB221602
109,LEVEL01PLAYER220710BULLET121001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000005BOMB221602
110,LEVEL01PLAYER220610BULLET121001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000005BOMB221602
111,LEVEL01PLAYER220610BULLET121001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000005BOMB-1-102
112,LEVEL01PLAYER220610BULLET111001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000005BOMB-1-102
113,LEVEL01PLAYER220610BULLET101001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000005BOMB-1-102
114,LEVEL01PLAYER220510BULLET101001ENEMY_WEAK-1-100071402071802ENEMY_STRONG041004041404041804ENEMY_UFO000005BOMB-1-102
115,LEVEL01PLAYER220510BULLET101001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000005BOMB030302
116,LEVEL01PLAYER220510BULLET091001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000005BOMB030302
117,LEVEL01PLAYER220510BULLET091001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000005BOMB040302
118,LEVEL01PLAYER220510BULLET081001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000005BOMB040302
119,LEVEL01PLAYER220410BULLET081001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000005BOMB040302
120,LEVEL01PLAYER220410BULLET071001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000005BOMB050302
121,LEVEL01PLAYER220410BULLET071001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000105BOMB050302
122,LEVEL01PLAYER220310BULLET061001ENEMY_WEAK-1-100071302071702ENEMY_STRONG040904041304041704ENEMY_UFO000105BOMB050302
123,LEVEL01PLAYER220310BULLET-1-101ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000105BOMB050302
124,LEVEL01PLAYER220310BULLET-1-101ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000105BOMB060302
125,LEVEL01PLAYER220310BULLET-1-101ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000105BOMB070302
126,LEVEL01PLAYER220310BULLET210501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000105BOMB070302
127,LEVEL01PLAYER220310BULLET210501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000005BOMB070302
128,LEVEL01PLAYER220310BULLET200501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000005BOMB070302
129,LEVEL01PLAYER220310BULLET200501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000005BOMB080302
130,LEVEL01PLAYER220310BULLET190501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000005BOMB080302
131,LEVEL01PLAYER220410BULLET190501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000005BOMB080302
132,LEVEL01PLAYER220410BULLET190501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000005BOMB090302
133,LEVEL01PLAYER220410BULLET180501ENEMY_WEAK-1-100071302071702ENEMY_STRONG040903041304041704ENEMY_UFO000005BOMB090302
134,LEVEL01PLAYER220410BULLET180501ENEMY_WEAK-1-100071202071602ENEMY_STRONG040803041204041604ENEMY_UFO000005BOMB090302
